Author,Year,Title,Journal,Abstract,article_id,keywords,Terrestrial/Aquatic,Ecosystem,Location,Study Type,Organism,Mechanism of Shift,Stressor Category,Specific Stressor,Measure,Tissue Type,Lipid Correction,TDF,Baselines,Result (Direction),Result description,Where result appears in paper,Model,P-value,R-squared
"Inamura, O and Zhang, J and Minagawa, M",2012,δ13C and δ15N values in scales of Micropterus salmoides largemouth bass as a freshwater environmental indicator.,Rapid communications in mass spectrometry : RCM,"We have investigated the effectiveness of using the Micropterus salmoides largemouth bass, which is a top predator found throughout the world, as the index of a hydrosphere environment and its food chain. To this end, we used stable carbon and nitrogen isotope analysis (SIA). Largemouth bass were collected from eight dam reservoirs and two ponds in Toyama Prefecture, Japan. Toyama is located in central Japan and features a variety of distinct geographical environments, a result of the 3000-m elevation that changes over short distances, and abundant water systems. The mean δ(13)C and δ(15)N values for the lipid-extracted muscle of largemouth bass from all sampling locations showed large variability, but there were only small standard deviations at each sampling location. The isotope ratios for largemouth bass express the characteristics of each investigated hydrosphere environment and food chain. A very high correlation (δ(13)C: Y(scale) = 0.96 X(muscle) + 1.58, R(2) = 0.98, δ(15)N: Y(scale) = 0.92 X(muscle) - 1.15, R(2) = 0.95) of SIA values was found between largemouth bass scales and lipid-extracted muscles, which suggests that the more easily analyzed scales are useful as SIA samples for the monitoring and comparison of hydrosphere environments throughout the world.",10.1002/rcm.5288 [doi],NA,,,,,,,,,,,,,,,,,,,
"Revenga, J E and Campbell, L M and Arribére, M A and Ribeiro Guevara, S",2012,"Arsenic, cobalt and chromium food web biodilution in a Patagonia mountain lake.",Ecotoxicology and environmental safety,"Mussels, Diplon chilensis, from Lake Moreno, a double-basined mountain lake in southern Argentina, is known to have elevated concentrations of chromium (Cr, > 25 μg g⁻¹ dry weight DW) and arsenic (As, 35 μg g⁻¹ DW), attributed to untreated sewage. To further understand the trophodynamics of Cr, As and cobalt (Co), we investigated concentrations and transfer throughout the food web in each basin of Lake Moreno. Each basin differs in morphology in that the gently-sloping Lake Moreno West has more littoral habitat than deeper Lake Moreno East with its higher proportion of pelagic habitat. Despite the morphological differences, both basins share similar water quality parameters and species assemblages. As a result, Lake Moreno provides an exceptional opportunity to compare trophodynamics of elements that enable us to hypothesize pelagic-littoral habitat coupling in response to lake morphology as the underlying factor influencing both Cr pathway and Co and As trophodynamic modeling. Using stable isotopes of nitrogen (δ¹⁵N) and carbon (δ¹³C) to characterize metals trophodynamics in each basin, biodilution of As, Cr and Co were indicated by negative regressions. This is confirmed by elevated As, Co and Cr concentrations in phytoplankton (11.3±5.7, 7.4±4.9, 44.5±40.7 μg g⁻¹ DW respectively), while zooplankton and biofilm had the next elevated concentrations. Those elevated concentrations are in contrast with lower concentrations in sport fish such as rainbow trout (0.5±0.5, 0.2±0.3, 1.8±1.2 μg g⁻¹ DW). Higher concentrations of Cr in fish were associated with higher proportion of benthic/littoral prey items in western basin, and were confirmed by significant correlation with δ¹³C values. Arsenic, Co and Cr concentrations in fish, while elevated, do not post health risks to human or wildlife consumers.",S0147-6513(12)00101-7 [pii] and 10.1016/j.ecoenv.2012.03.014 [doi],NA,,,,,,,,,,,,,,,,,,,
"Kwon, Sae Yun and Blum, Joel D and Carvan, Michael J and Basu, Niladri and Head, Jessica A and Madenjian, Charles P and David, Solomon R",2012,Absence of fractionation of mercury isotopes during trophic transfer of methylmercury to freshwater fish in captivity.,Environmental science & technology,"We performed two controlled experiments to determine the amount of mass-dependent and mass-independent fractionation (MDF and MIF) of methylmercury (MeHg) during trophic transfer into fish. In experiment 1, juvenile yellow perch (Perca flavescens) were raised in captivity on commercial food pellets and then their diet was either maintained on unamended food pellets (0.1 μg/g MeHg) or was switched to food pellets with 1.0 μg/g or 4.0 μg/g of added MeHg, for a period of 2 months. The difference in δ(202)Hg (MDF) and Δ(199)Hg (MIF) between fish tissues and food pellets with added MeHg was within the analytical uncertainty (δ(202)Hg, 0.07 ‰; Δ(199)Hg, 0.06 ‰), indicating no isotope fractionation. In experiment 2, lake trout (Salvelinus namaycush) were raised in captivity on food pellets and then shifted to a diet of bloater (Coregonus hoyi) for 6 months. The δ(202)Hg and Δ(199)Hg of the lake trout equaled the isotopic composition of the bloater after 6 months, reflecting reequilibration of the Hg isotopic composition of the fish to new food sources and a lack of isotope fractionation during trophic transfer. We suggest that the stable Hg isotope ratios in fish can be used to trace environmental sources of Hg in aquatic ecosystems.",10.1021/es300794q [doi],NA,,,,,,,,,,,,,,,,,,,
"Jensen, H and Kiljunen, M and Amundsen, P-A",2012,Dietary ontogeny and niche shift to piscivory in lacustrine brown trout Salmo trutta revealed by stomach content and stable isotope analyses.,Journal of fish biology,"The feeding ecology and ontogeny of a large size range of brown trout Salmo trutta in Lake Fyresvatnet, southern Norway, were examined by stomach content and stable isotope analyses. According to the stomach contents, the S. trutta changed their diet at c. 30 cm total length (L(T) ). The smaller size classes fed on benthic invertebrates and surface insects, whereas larger S. trutta (>30 cm) fed mainly on whitefish Coregonus lavaretus. A similar, but more gradual shift to piscivory in the size range 25-30 cm was found when using the stable isotope mixing model SIAR to reveal dietary ontogeny. The δ¹³C isotopic signature confirmed that S. trutta independent of size predominantly relied upon benthic energy sources, suggesting that the littoral zone was the primary foraging habitat for both invertebrate and piscivorous feeders. The δ¹⁵N values and trophic position increased with predator length, ranging from an average of 3·60 for small-sized S. trutta (<15 cm) to 4·15 for large-sized fish (>35 cm). The S. trutta exhibited a relatively slow growth rate during the predominant invertebrate feeding stages up to 7 years of age and 28 cm L(T) , whereas fish above this size and age displayed a rapid growth rate of 9-11 cm year⁻¹, demonstrating the profitability of piscivorous feeding.",10.1111/j.1095-8649.2012.03294.x [doi],NA,,,,,,,,,,,,,,,,,,,
"Nelson, Craig E and Carlson, Craig A",2012,Tracking differential incorporation of dissolved organic carbon types among diverse lineages of Sargasso Sea bacterioplankton.,Environmental microbiology,"Bacterioplankton are the primary trophic conduit for dissolved organic carbon (DOC) and linking community structure with DOC utilization is central to understanding global carbon cycling. We coupled stable isotope probing (SIP) with 16S rRNA pyrosequencing in dark seawater culture experiments on euphotic and mesopelagic communities from the Sargasso Sea. Parallel cultures were amended with equimolar quantities of four DO(13) C substrates to simultaneously evaluate community utilization and population-specific incorporation. Of the substrates tested - two cyanobacterial products (exudates or lysates from a culture of Synechococcus) and two defined monosaccharides (glucose or gluconic acid) - the cyanobacterial exudates were incorporated by the greatest diversity of oligotrophic bacterioplankton populations in surface waters, including taxa from > 10 major subclades within the Flavobacteria, Actinobacteria, Verrucomicrobia and Proteobacteria (including SAR11). In contrast, the monosaccharide glucose was not incorporated by any taxa belonging to extant oligotrophic oceanic clades. Conversely, proteobacterial copiotrophs, which were rare in the ambient water (< 0.1% of sequences), grew rapidly on all DOC amendments at both depths, but with different substrate preferences among lineages. We present a new analytical framework for using SIP to detect DOC incorporation across diverse oligotrophic bacterioplankton and discuss implications for the ecology of bacterial-DOC interactions among populations of diverging trophic strategies.",10.1111/j.1462-2920.2012.02738.x [doi],NA,,,,,,,,,,,,,,,,,,,
"Li, Yanbin and Yin, Yongguang and Liu, Guangliang and Tachiev, Georgio and Roelant, David and Jiang, Guibin and Cai, Yong",2012,Estimation of the major source and sink of methylmercury in the Florida Everglades.,Environmental science & technology,"Mercury methylation and/or demethylation have been observed in several compartments [soil (saturated soils covered by standing water), floc, periphyton, and water] of the Everglades, a wetland with mercury as one of the major water quality concerns. However, it is still unclear which compartment is the major source or sink due to the lack of estimation and comparison of the net methylmercury (MeHg) production or degradation in these compartments. The lack of this information has limited our understanding of Hg cycling in this ecosystem. This study adopted a double stable isotope ((199)Hg(2+) and Me(201)Hg) addition technique to determine the methylation/demethylation rate constants and the net MeHg production rates in each compartment. This study improved the previous models for estimating these parameters by (1) taking into account the difference between newly input and ambient mercury in methylation/demethylation efficiency and (2) correcting the contribution of photodemethylation to Me(199)Hg concentration when calculating methylation rates in water. The net MeHg production rate in each compartment was then estimated to identify the major sources and sinks of MeHg. The results indicate that these improvements in modeling are necessary, as a significant error would occur otherwise. Soil was identified to be the largest source of MeHg in the Everglades, while the floc and water column were identified as the major sinks. The role of periphyton varies, appearing to be a source in the northern Everglades and a sink in the southern Everglades. Soil could be the largest source for MeHg in the water column, while methylation in periphyton could also contribute significantly in the northern Everglades.",10.1021/es204410x [doi],NA,,,,,,,,,,,,,,,,,,,
"Richter, E K and Spangenberg, J E and Willems, H and Kreuzer, M and Leiber, F",2012,Stable carbon isotope composition of perirenal adipose tissue fatty acids from Engadine sheep grazing either mountain or lowland pasture.,Journal of animal science,"To provide further insights into ruminant lipid digestion and metabolism, and into cis-9,trans-11 18:2 synthesis, 12 growing Engadine lambs grazing either mountain pasture (2,250 m above sea level; n = 6) or lowland pasture (400 m above sea level; n = 6) were studied. Both pastures consisted exclusively of C(3) plants. Before the experiment, all animals grazed a common pasture for 6 wk. Grasses and perirenal adipose tissues of the sheep were analyzed for fatty acids by gas chromatography. Stable C-isotope ratios (δ(13)C values in ‰ vs. the Vienna Pee Dee Belemnite standard) were determined in the composite samples by elemental analysis-isotope ratio mass spectrometry. The δ(13)C of the individual fatty acids were measured by gas chromatography-combustion-isotope ratio mass spectrometry. The δ(13)C value of the entire mountain pasture grass was -27.5‰ (SD 0.31), whereas that of the lowland pasture grass was -30.0‰ (SD 0.07). This difference was reflected in the perirenal adipose tissues of the corresponding sheep (P < 0.05), even though the δ(13)C values were less in the animals than in the grass. The δ(13)C values for cis-9 16:1 and cis-9 18:1 in perirenal fat differed between mountain and lowland lambs (P < 0.05). The 16:0 in the adipose tissue was enriched in (13)C by 5‰ compared with the dietary 16:0, likely as a result of partly endogenous synthesis. The δ(13)C values of cis-9,trans-11 18:2 (cis-9,trans-11 CLA) in the adipose tissue were smaller than those of its dietary precursors, cis-9,cis-12 18:2 and cis-9,cis-12,cis-15 18:3; conversely, the δ(13)C values of trans-11 18:1 were not, suggesting that large proportions of perirenal cis-9,trans-11 18:2 were of endogenous origin and discrimination against (13)C occurred during Δ(9)-desaturation. The same discrimination was indicated by the isotopic shift between 16:0 and cis-9 16:1 in the mountain grazing group. Furthermore, the δ(13)C values of cis-9,trans-11 18:2 were smaller relative to the precursor fatty acids in the mountain lambs compared with the lowland group. This result suggests a reduced extent of biohydrogenation in lambs grazing on mountain grass in comparison with those grazing on lowland grass. This was supported by the smaller cis-9,trans-11 18:2 concentrations in total fatty acids found in the adipose tissues of the lowland lambs (P < 0.001). The results of this study demonstrate that natural differences between δ(13)C values of swards from different pastures and the adipose tissue fatty acids could be used as tracers in studies of lipid metabolism in ruminants.",jas.2011-4284 [pii] and 10.2527/jas.2011-4284 [doi],NA,,,,,,,,,,,,,,,,,,,
"Winder, Virginia L and Michaelis, Adriane K and Emslie, Steven D",2012,Understanding associations between nitrogen and carbon isotopes and mercury in three Ammodramus sparrows.,The Science of the total environment,"We analyzed nitrogen and carbon stable isotope ratios and mercury (Hg) in breast feathers from three species of closely related sparrows, Saltmarsh, Seaside, and Nelson's Sparrows (Ammodramus caudacutus, A. maritimus, and A. nelsoni, respectively), to assess if trophic position and food web structure influence Hg exposure in these species. Sparrows were captured during the non-breeding season from 2006 to 2008 in North Carolina salt marshes near Wrightsville Beach, New Hanover County. Generalized linear models were used to test for the influence of species, δ(15)N, and δ(13)C on breast feather Hg. The most parsimonious model included species, δ(15)N, and their interaction term and explained 36% of the variation in breast feather Hg. Each species exhibited a different association between breast feather δ(15)N and Hg with Seaside Sparrows showing a positive correlation (r=0.27, P=0.03), Nelson's Sparrows a negative correlation (r=-0.28, P=0.01), and Saltmarsh Sparrows with no significant association. For Saltmarsh Sparrows, δ(15)N and Hg revealed decoupling between breast feather Hg and trophic position. Our results demonstrate that the influence of δ(15)N on breast feather Hg is likely indicative of geographic variation in δ(15)N baselines rather than trophic position.",S0048-9697(12)00005-8 [pii] and 10.1016/j.scitotenv.2012.01.003 [doi],NA,,,,,,,,,,,,,,,,,,,
"Bartels, Pia and Cucherousset, Julien and Steger, Kristin and Eklöv, Peter and Tranvik, Lars J and Hillebrand, Helmut",2012,Reciprocal subsidies between freshwater and terrestrial ecosystems structure consumer resource dynamics.,Ecology,"Cross-ecosystem movements of material and energy, particularly reciprocal resource fluxes across the freshwater-land interface, have received major attention. Freshwater ecosystems may receive higher amounts of subsidies (i.e., resources produced outside the focal ecosystem) than terrestrial ecosystems, potentially leading to increased secondary production in freshwaters. Here we used a meta-analytic approach to quantify the magnitude and direction of subsidy inputs across the freshwater-land interface and to determine subsequent responses in recipient animals. Terrestrial and freshwater ecosystems differed in the magnitude of subsidies they received, with aquatic ecosystems generally receiving higher subsidies than terrestrial ecosystems. Surprisingly, and despite the large discrepancy in magnitude, the contribution of these subsidies to animal carbon inferred from stable isotope composition did not differ between freshwater and terrestrial ecosystems, likely due to the differences in subsidy quality. The contribution of allochthonous subsidies was highest to primary consumers and predators, suggesting that bottom-up and top-down effects may be affected considerably by the input of allochthonous resources. Future work on subsidies will profit from a food web dynamic approach including indirect trophic interactions and propagating effects.",10.1890/11-1210.1 [doi],NA,,,,,,,,,,,,,,,,,,,
"Hoof, Catherine Van den and Thiry, Yves",2012,Modelling of the natural chlorine cycling in a coniferous stand: implications for chlorine-36 behaviour in a contaminated forest environment.,Journal of environmental radioactivity,"Considered as one of the most available radionuclide in soil-plant system, ³⁶Cl is of potential concern for long-term management of radioactive wastes, due to its high mobility and its long half-life. To evaluate the risk of dispersion and accumulation of ³⁶Cl in the biosphere as a consequence of a potential contamination, there is a need for an appropriate understanding of the chlorine cycling dynamics in the ecosystems. To date, a small number of studies have investigated the chlorine transfer in the ecosystem including the transformation of chloride to organic chlorine but, to our knowledge, none have modelled this cycle. In this study, a model involving inorganic as well as organic pools in soils has been developed and parameterised to describe the biogeochemical fate of chlorine in a pine forest. The model has been evaluated for stable chlorine by performing a range of sensitivity analyses and by comparing the simulated to the observed values. Finally a range of contamination scenarios, which differ in terms of external supply, exposure time and source, has been simulated to estimate the possible accumulation of ³⁶Cl within the different compartments of the coniferous stand. The sensitivity study supports the relevancy of the model and its compartments, and has highlighted the chlorine transfers affecting the most the residence time of chlorine in the stand. Compared to observations, the model simulates realistic values for the chlorine content within the different forest compartments. For both atmospheric and underground contamination scenarios most of the chlorine can be found in its organic form in the soil. However, in case of an underground source, about two times less chlorine accumulates in the system and proportionally more chlorine leaves the system through drainage than through volatilisation.",S0265-931X(11)00309-2 [pii] and 10.1016/j.jenvrad.2011.12.014 [doi],NA,,,,,,,,,,,,,,,,,,,
"Jones, J R and Mulville, J A and McGill, R A R and Evershed, R P",2012,Palaeoenvironmental modelling of δ(13) C and δ(15) N values in the North Atlantic Islands: understanding past marine resource use.,Rapid communications in mass spectrometry : RCM,"RATIONALE: Carbon (δ(13) C) and nitrogen (δ(15) N) analysis has been extensively used to investigate the importance of marine foods in the diet of archaeological populations in the North Atlantic Islands; however, few faunal studies exist to aid the interpretation of results. Palaeoenvironmental modelling of δ(13) C and δ(15) N values is crucial in determining whether changes in the stable isotope values are a result of dietary change, rather than temporal or geographical fluctuations in carbon and nitrogen. Investigating faunal dietary behaviour can provide an insight into past foddering and land management strategies. METHODS: Detailed sampling of wild and domestic species for bulk collagen analysis was undertaken in order to characterise geographical variations in δ(13) C and δ(15) N values in the Outer Hebrides and Orkney. Samples from the Neolithic to the Norse period were analysed to assess temporal and geographical variations in δ(13) C and δ(15) N values, in addition to determining the contribution of marine foods to the diet of local fauna. RESULTS: A δ(15) N shift of 1‰ was observed between the Outer Hebrides and Orkney in the Neolithic and Iron Age. A geographical variation in δ(13) C values was observed in the Norse period between Orkney and the Outer Hebrides. Temporal fluctuations in δ(13) C and δ(15) N values demonstrate variations in foddering practices of sheep in the Outer Hebrides. Pig specimens from the Outer Hebrides demonstrated evidence of marine food consumption in the Iron Age. CONCLUSIONS: Faunal dietary behaviour can act as a vital indicator of the importance of marine resources in the past. Characterisation of faunal δ(13) C and δ(15) N values geographically and temporally is crucial in our interpretation of human dietary behaviour.",10.1002/rcm.6319 [doi],NA,,,,,,,,,,,,,,,,,,,
"Chen, Da and Letcher, Robert J and Gauthier, Lewis T and Chu, Shaogang and McCrindle, Robert",2012,Newly discovered methoxylated polybrominated diphenoxybenzenes have been contaminants in the Great Lakes herring gull eggs for thirty years.,Environmental science & technology,"We recently reported the discovery and identification of novel methoxylated polybrominated diphenoxybenzenes (MeO-PBDPBs) in herring gulls eggs from the Laurentian Great Lakes of North America. We presently investigated the temporal changes (1982-2010) in MeO-PBDPB concentrations and congener patterns, as well as chemical tracers of diet (ratios of carbon and nitrogen stable isotopes), in egg pool homogenates from five selected colony sites across the Great Lakes. Egg pool homogenates from the Channel-Shelter (C-S) Island (Lake Huron) contained ∑MeO-PBDPB concentrations orders of magnitude greater than those from other colonies, suggesting potential point contamination sources nearby. In the C-S Island egg pools, concentrations increased from the initial study year (31 ng/g wet weight) and peaked around the late 1990s, followed by a general decline until 2010. Over the period, concentrations generally increased in eggs from Fighting Island (Lake Erie), Toronto Harbour (Lake Ontario) and Big Sister Island (Lake Michigan) colonies, whereas the levels in Agawa Rock (Lake Superior) declined. Although other factors likely exist, changes over time in the carbon and nitrogen isotope tracers reflected a shift of the gull diet from aquatic to more terrestrial origins, and suggested this diet shift partially accounted for the temporal changes of ∑MeO-PBDPB levels in eggs from most colonies. The ratio of Br(6)- to Br(5)-MeO-PBDPB congeners generally decreased over time in the colonies at Channel-Shelter Island, Fighting Island and Agawa Rock. This suggested that Br(5)- versus Br(6)-MeO-PBDPB congeners and/or possibly their nonmethoxylated and higher brominated precursors may have been more abundant in diets of terrestrial origin. Notably, these MeO-PBDPB congeners are not ""emerging"" brominated substances, but rather ""recently discovered"" contaminants since, as of 2011, ∑MeO-PBDPB concentrations have been constantly in the range of 30-100 ng/g ww for at least the last 30 years.",10.1021/es3018978 [doi],NA,,,,,,,,,,,,,,,,,,,
"Crowley, Brooke E and Godfrey, Laurie R and Guilderson, Thomas P and Zermeño, Paula and Koch, Paul L and Dominy, Nathaniel J",2012,Extinction and ecological retreat in a community of primates.,Proceedings. Biological sciences,"The lemurs of Madagascar represent a prodigious adaptive radiation. At least 17 species ranging from 11 to 160 kg have become extinct during the past 2000 years. The effect of this loss on contemporary lemurs is unknown. The concept of competitive release favours the expansion of living species into vacant niches. Alternatively, factors that triggered the extinction of some species could have also reduced community-wide niche breadth. Here, we use radiocarbon and stable isotope data to examine temporal shifts in the niches of extant lemur species following the extinction of eight large-bodied species. We focus on southwestern Madagascar and report profound isotopic shifts, both from the time when now-extinct lemurs abounded and from the time immediately following their decline to the present. Unexpectedly, the past environments exploited by lemurs were drier than the protected (albeit often degraded) riparian habitats assumed to be ideal for lemurs today. Neither competitive release nor niche contraction can explain these observed trends. We develop an alternative hypothesis: ecological retreat, which suggests that factors surrounding extinction may force surviving species into marginal or previously unfilled niches.",rspb.2012.0727 [pii] and rspb20120727 [pii] and 10.1098/rspb.2012.0727 [doi],NA,,,,,,,,,,,,,,,,,,,
"Hong, Yong-Seok and Hull, Peter and Rifkin, Erik and Bouwer, Edward J",2013,Bioaccumulation and biomagnification of mercury and selenium in the Sarasota Bay ecosystem.,Environmental toxicology and chemistry,"The bioaccumulation and biomagnification of Hg and Se were investigated in Sarasota Bay, Florida, USA, to characterize the Hg exposure risks to wild bottlenose dolphins in the bay. Concentrations of total mercury (THg), monomethylmercury (MMHg), and total selenium (TSe) were monitored in the bay, the latter of which might reduce Hg toxicity. The food web structure and dolphins' trophic level-specific consumption rates were evaluated using stable isotope ratios of carbon (δ(13) C) and nitrogen (δ(15) N). Regressions developed for Hg biomagnification in the food chain were log10 CTHg (nanograms per gram) =0.27 × δ(15) N (‰) - 0.42, R(2)  =0.87, for THg and log10 CMMHg  =0.33 × δ(15) N (‰) - 1.0, R(2)  =0.93, for MMHg. Unlike Hg, nearly constant TSe concentrations were observed at 248 ± 179 ng g(-1) in the food web, and the TSe-to-THg molar ratio was predicted by log10 (CTSe /CTHg ) = -0.10 × δ(15) N (‰) +2.8, R(2)  =0.60. The THg-uptake rates of Sarasota bottlenose dolphins are estimated to vary between 2.1 and 4.9 µg kg(-1) d(-1) ; however, the estimated TSe-uptake rates (15.1 µg kg(-1) d(-1) ) were higher than those for THg, and the Hg-exposure risks of the Sarasota Bay resident bottlenose dolphins are considered to be low. Approaches employed in the present study can be extended to other environments to characterize Hg contamination in aquatic systems and Hg exposure risks in top predators.",10.1002/etc.2169 [doi],NA,,,,,,,,,,,,,,,,,,,
"Drewett, David V V and Willson, John D and Cristol, Daniel A and Chin, Stephanie Y and Hopkins, William A",2013,Inter- and intraspecific variation in mercury bioaccumulation by snakes inhabiting a contaminated river floodplain.,Environmental toxicology and chemistry,"Although mercury (Hg) is a well-studied contaminant, knowledge about Hg accumulation in snakes is limited. The authors evaluated Hg bioaccumulation within and among four snake species (northern watersnakes, Nerodia sipedon; queen snakes, Regina septemvittata; common garter snakes, Thamnophis sirtalis; and rat snakes, Elaphe obsoleta [Pantherophis alleghaniensis]) from a contaminated site on the South River (Waynesboro, VA, USA) and two nearby reference sites. Total Hg (THg) concentrations in northern watersnake tail tissue at the contaminated site ranged from 2.25 to 13.84 mg/kg dry weight (mean: 4.85 ± 0.29), or 11 to 19 times higher than reference sites. Blood THg concentrations (0.03-7.04 mg/kg wet wt; mean: 2.24 ± 0.42) were strongly correlated with tail concentrations and were the highest yet reported in a snake species. Within watersnakes, nitrogen stable isotope values indicated ontogenetic trophic shifts that correlated with THg bioaccumulation, suggesting that diet plays a substantial role in Hg exposure. Female watersnakes had higher mean THg concentrations (5.67 ± 0.46 mg/kg) than males (4.93 ± 0.49 mg/kg), but no significant differences between sexes were observed after correcting for body size. Interspecific comparisons identified differences in THg concentrations among snake species, with more aquatic species (watersnakes and queen snakes) accumulating higher mean concentrations (5.60 ± 0.40 and 4.59 ± 0.38 mg/kg in tail tissue, respectively) than the more terrestrial species, garter snakes and rat snakes (1.28 ± 0.32 and 0.26 ± 0.09 mg/kg, respectively). The results of the present study warrant further investigation of potential adverse effects and will aid in prioritizing conservation efforts.",10.1002/etc.2157 [doi],NA,,,,,,,,,,,,,,,,,,,
"Coelho, J P and Mieiro, C L and Pereira, E and Duarte, A C and Pardal, M A",2013,Mercury biomagnification in a contaminated estuary food web: effects of age and trophic position using stable isotope analyses.,Marine pollution bulletin,"The main aim of this study was to ascertain the biomagnification processes in a mercury-contaminated estuary, by clarifying the trophic web structure through stable isotope ratios. For this purpose, primary producers (seagrasses and macroalgae), invertebrates (detritivores and benthic predators) and fish were analysed for total and organic mercury and for stable carbon and nitrogen isotopic signatures. Trophic structure was accurately described by δ(15)N, while δ(13)C reflected the carbon source for each species. An increase of mercury levels was observed with trophic level, particularly for organic mercury. Results confirm mercury biomagnification to occur in this estuarine food web, especially in the organic form, both in absolute concentrations and fraction of total mercury load. Age can be considered an important variable in mercury biomagnification studies, and data adjustments to account for the different exposure periods may be necessary for a correct assessment of trophic magnification rates and ecological risk.",S0025-326X(13)00036-2 [pii] and 10.1016/j.marpolbul.2013.01.021 [doi],NA,,,,,,,,,,,,,,,,,,,
"Zhu, Aijia and Zhang, Wei and Xu, Zhanzhou and Huang, Liangmin and Wang, Wen-Xiong",2013,Methylmercury in fish from the South China Sea: geographical distribution and biomagnification.,Marine pollution bulletin,"We conducted a large-scale investigation of methylmercury (MeHg) in a total of 628 marine wild fish covering 46 different species collected from the South China Sea between 2008 and 2009. Biological and ecological characteristics such as size (length and wet weight), feeding habit, habitat, and stable isotope (δ(15)N) were examined to explain MeHg bioaccumulation in marine fish and their geographical distribution. MeHg levels in the muscle tissues of the 628 individuals ranged from 0.010 to 1.811 μg/g dry wt. Log10MeHg concentration was significantly related to their length and wet weight. Feeding habit and habitat were the primary factors influencing MeHg bioaccumulation. Demersal fish were more likely to be contaminated with MeHg than the epipelagic and mesopelagic varieties. Linear relationships were obtained between Log10(MeHg) and δ(15)N only for one location, indicating that biomagnification was site-specific. Results from this study suggest that dietary preference and trophic structure were the main factors affecting MeHg bioaccumulation in marine fish from the South China Sea.",S0025-326X(13)00545-6 [pii] and 10.1016/j.marpolbul.2013.09.009 [doi],Bioaccumulation and Biomagnification and Marine fish and Methylmercury and South China Sea,,,,,,,,,,,,,,,,,,,
"Bibi, Faysal and Souron, Antoine and Bocherens, Hervé and Uno, Kevin and Boisserie, Jean-Renaud",2013,Ecological change in the lower Omo Valley around 2.8 Ma.,Biology letters,"Late Pliocene climate changes have long been implicated in environmental changes and mammalian evolution in Africa, but high-resolution examinations of the fossil and climatic records have been hampered by poor sampling. By using fossils from the well-dated Shungura Formation (lower Omo Valley, northern Turkana Basin, southern Ethiopia), we investigate palaeodietary changes in one bovid and in one suid lineage from 3 to 2 Ma using stable isotope analysis of tooth enamel. Results show unexpectedly large increases in C(4) dietary intake around 2.8 Ma in both the bovid and suid, and possibly in a previously reported hippopotamid species. Enamel δ(13)C values after 2.8 Ma in the bovid (Tragelaphus nakuae) are higher than recorded for any living tragelaphin, and are not expected given its conservative dental morphology. A shift towards increased C(4) feeding at 2.8 Ma in the suid (Kolpochoerus limnetes) appears similarly decoupled from a well-documented record of dental evolution indicating gradual and progressive dietary change. The fact that two, perhaps three, disparate Pliocene herbivore lineages exhibit similar, and contemporaneous changes in dietary behaviour suggests a common environmental driver. Local and regional pollen, palaeosol and faunal records indicate increased aridity but no corresponding large and rapid expansion of grasslands in the Turkana Basin at 2.8 Ma. Our results provide new evidence supporting ecological change in the eastern African record around 2.8 Ma, but raise questions about the resolution at which different ecological proxies may be comparable, the correlation of vegetation and faunal change, and the interpretation of low δ(13)C values in the African Pliocene.",rsbl.2012.0890 [pii] and rsbl20120890 [pii] and 10.1098/rsbl.2012.0890 [doi],NA,,,,,,,,,,,,,,,,,,,
"Rossatto, D R and da Silveira Lobo Sternberg, L and Franco, A C",2013,The partitioning of water uptake between growth forms in a Neotropical savanna: do herbs exploit a third water source niche?,"Plant biology (Stuttgart, Germany)","In addition to trees and grasses, the savannas of central Brazil are characterised by a diverse herbaceous dicot flora. Here we tested whether the coexistence of a highly diversified assemblage of species resulted in stratification or strong overlap in the use of soil water resources. We measured oxygen and hydrogen isotope ratios of stem water from herbs, grasses and trees growing side by side, as well as the isotopic composition of water in soil profile, groundwater and rainfall, and predawn (Ψ(pd)) and midday (Ψ(md)) leaf water potentials. We used a stable isotope mixing model to estimate vertical partitioning of soil water by the three growth forms. Grasses relied on shallow soil water (5-50 cm) and were strongly anisohydric. Ψ(pd) and Ψ(md) decreased significantly from the wet to the dry season. Trees extracted water from deeper regions of the soil profile (60-120 cm) and were isohydric. Ψ(pd) and Ψ(md) did not change from the wet to the dry season. Herbs overlapped with grasses in patterns of water extraction in the dry season (between 10 and 40 cm), but they took up water at soil depths intermediate (70-100 cm) to those of trees and grasses during the wet season. They showed seasonal changes in Ψ(pd) but not in Ψ(md). We conclude that vertical partitioning of soil water may have contributed to coexistence of these three growth forms and resulted in a more complex pattern of soil water extraction than the two-compartment model of soil water uptake currently used to explain the structure and function of tropical savanna ecosystems.",10.1111/j.1438-8677.2012.00618.x [doi],NA,,,,,,,,,,,,,,,,,,,
